city,2020voterate,2016voterate,2012voterate
臺北市,76.3098,68.03,76.78
新北市,75.0943,67.23,75.9
桃園市,74.4183,66.66,74.69
臺中市,76.3648,68.36,75.76
臺南市,75.7679,65.81,74.18
高雄市,77.4424,67.64,75.91
新竹縣,75.1078,65.89,75.87
苗栗縣,73.7959,64.81,74.63
彰化縣,74.6985,66.63,73.46
南投縣,73.2087,63.65,71.13
雲林縣,71.6457,61.84,68.92
嘉義縣,72.5639,65.93,73
屏東縣,74.9198,66.01,72.67
宜蘭縣,73.8629,64.05,72.54
花蓮縣,69.4815,58.68,64.64
臺東縣,65.0493,55.07,64.535
澎湖縣,58.2911,51.37,59.01
基隆市,73.3359,63.99,72.09
新竹市,76.5973,68.32,75.68
嘉義市,75.9815,66.61,73.53
金門縣,40.1446,33.58,46.67
連江縣,57.3361,44.46,65.79
